,session.code,participant.code,session_type,d_correctrate_type,h_dutch_correctrate_type,h_contest_correctrate_type,h_english_correctrate_type,session_discount
0,ogo32l47,xpve5jjr,05_D2H1,"High,Inaccurate","High,Accurate",High,"High,Inaccurate",0.019
1,ogo32l47,4uwxoyym,05_D2H1,"High,Accurate","High,Accurate",Low,"Low,Inaccurate",0.019
2,ogo32l47,vsnra3b2,05_D2H1,"High,Accurate","High,Inaccurate",High,"High,Inaccurate",0.019
3,ogo32l47,t1bd9l7t,05_D2H1,"High,Accurate","High,Accurate",High,"High,Accurate",0.019
4,ogo32l47,dhvmgqvp,05_D2H1,"High,Inaccurate","High,Inaccurate",High,"High,Accurate",0.019
5,ogo32l47,co853jdf,05_D2H1,"High,Inaccurate","High,Inaccurate",Low,"Low,Inaccurate",0.019
6,ogo32l47,o0hl9fts,05_D2H1,"High,Accurate","High,Accurate",High,"High,Inaccurate",0.019
7,ogo32l47,fcn7ugft,05_D2H1,"High,Inaccurate","High,Accurate",High,"Low,Accurate",0.019
8,ogo32l47,mdplufxt,05_D2H1,"High,Accurate","High,Inaccurate",Low,"Low,Inaccurate",0.019
9,ogo32l47,mov11d6q,05_D2H1,"High,Accurate","High,Inaccurate",High,"Low,Accurate",0.019
10,ogo32l47,ycapi7qs,05_D2H1,"High,Accurate","High,Inaccurate",High,"Low,Accurate",0.019
11,ogo32l47,631hrbiu,05_D2H1,"High,Inaccurate","High,Inaccurate",High,"Low,Accurate",0.019
12,ogo32l47,oxnhhokq,05_D2H1,"High,Accurate","High,Inaccurate",High,"Low,Accurate",0.019
13,ogo32l47,ptz6jcy9,05_D2H1,"High,Accurate","High,Inaccurate",High,"High,Inaccurate",0.019
14,ogo32l47,5qx58s2r,05_D2H1,"High,Inaccurate","High,Accurate",Low,"Low,Inaccurate",0.019
15,cbdt6t3s,p9h85kcr,02_D2H1,"High,Accurate","High,Accurate",High,"High,Inaccurate",0.019
16,cbdt6t3s,mxwxkzz6,02_D2H1,"High,Inaccurate","High,Inaccurate",High,"High,Inaccurate",0.019
17,cbdt6t3s,sgan0bdv,02_D2H1,"High,Accurate",Low,High,"High,Inaccurate",0.019
18,cbdt6t3s,cwnfbv11,02_D2H1,"High,Inaccurate",Low,High,"Low,Accurate",0.019
19,cbdt6t3s,6akmy4kr,02_D2H1,Low,Low,High,"High,Inaccurate",0.019
20,cbdt6t3s,ece1g596,02_D2H1,Low,Low,Low,"Low,Inaccurate",0.019
21,cbdt6t3s,8vdn61jw,02_D2H1,"High,Inaccurate","High,Inaccurate",High,"High,Inaccurate",0.019
22,cbdt6t3s,569rkdmi,02_D2H1,"High,Inaccurate",Low,High,"High,Inaccurate",0.019
23,cbdt6t3s,un0gw1cl,02_D2H1,"High,Inaccurate",Low,High,"High,Inaccurate",0.019
24,cbdt6t3s,hru4gpvu,02_D2H1,"High,Accurate",Low,High,"High,Inaccurate",0.019
25,nli0vb0t,78zvyywq,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.019
26,nli0vb0t,xfp6redl,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.019
27,nli0vb0t,l8zmfxbp,02_D1H2,"High,Inaccurate",Low,High,"High,Accurate",0.019
28,nli0vb0t,nytb287q,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.019
29,nli0vb0t,125plpb3,02_D1H2,"High,Inaccurate","High,Inaccurate",High,"Low,Accurate",0.019
30,nli0vb0t,ybapfguj,02_D1H2,"High,Accurate","High,Inaccurate",High,"High,Accurate",0.019
31,nli0vb0t,0bpzxu3k,02_D1H2,"High,Accurate",Low,High,"High,Inaccurate",0.019
32,nli0vb0t,ql1bcebi,02_D1H2,"High,Accurate","High,Inaccurate",High,"High,Inaccurate",0.019
33,nli0vb0t,kmgpsss2,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.019
34,nli0vb0t,si42qbgf,02_D1H2,"High,Inaccurate","High,Inaccurate",High,"High,Inaccurate",0.019
35,15t0rnnr,zdnh7x5w,05_D1H2,"High,Inaccurate",Low,High,"High,Accurate",0.019
36,15t0rnnr,t7atobjm,05_D1H2,"High,Inaccurate","High,Inaccurate",High,"High,Accurate",0.019
37,15t0rnnr,2v28o8ao,05_D1H2,"High,Inaccurate",Low,High,"High,Accurate",0.019
38,15t0rnnr,kt4qj72f,05_D1H2,"High,Inaccurate","High,Inaccurate",High,"High,Accurate",0.019
39,15t0rnnr,ovsmhled,05_D1H2,"High,Accurate",Low,High,"Low,Inaccurate",0.019
40,15t0rnnr,v2fxgek6,05_D1H2,"High,Inaccurate","High,Inaccurate",High,"High,Accurate",0.019
41,15t0rnnr,serh36i8,05_D1H2,"High,Accurate",Low,High,"High,Accurate",0.019
42,15t0rnnr,stv753dg,05_D1H2,"High,Accurate",Low,High,"High,Accurate",0.019
43,15t0rnnr,77i4h44s,05_D1H2,"High,Inaccurate",Low,High,"High,Accurate",0.019
44,15t0rnnr,b2lhxoes,05_D1H2,"High,Accurate",Low,High,"High,Accurate",0.019
45,w4lqxa01,8vp5cg8d,05_D1H2,"High,Accurate","High,Inaccurate",High,"High,Accurate",0.019
46,w4lqxa01,99eo3cv9,05_D1H2,"High,Inaccurate","High,Inaccurate",High,"High,Accurate",0.019
47,w4lqxa01,5ijp1psm,05_D1H2,"High,Accurate","High,Accurate",High,"Low,Accurate",0.019
48,w4lqxa01,iw9n3s9j,05_D1H2,"High,Inaccurate","High,Inaccurate",High,"Low,Inaccurate",0.019
49,w4lqxa01,71cpbfni,05_D1H2,"High,Inaccurate",Low,High,"High,Accurate",0.019
50,w4lqxa01,8wo14i1u,05_D1H2,"High,Accurate",Low,High,"High,Accurate",0.019
51,w4lqxa01,y93878sx,05_D1H2,"High,Accurate","High,Inaccurate",High,"High,Accurate",0.019
52,w4lqxa01,9x5w27px,05_D1H2,"High,Accurate","High,Accurate",High,"Low,Accurate",0.019
53,w4lqxa01,hnai8u6g,05_D1H2,"High,Accurate",Low,High,"High,Accurate",0.019
54,w4lqxa01,9zlshhag,05_D1H2,"High,Inaccurate","High,Inaccurate",High,"High,Accurate",0.019
55,5m969a1u,k0p1qgcr,02_D1H2,"High,Inaccurate",Low,High,"High,Accurate",0.009
56,5m969a1u,oxm5vtpc,02_D1H2,"High,Accurate","High,Inaccurate",High,"High,Inaccurate",0.009
57,5m969a1u,skq2nv16,02_D1H2,"High,Accurate",Low,High,"High,Inaccurate",0.009
58,5m969a1u,1bqee54e,02_D1H2,"High,Inaccurate","High,Accurate",High,"High,Accurate",0.009
59,5m969a1u,5sdohpjb,02_D1H2,"High,Inaccurate","High,Accurate",High,"High,Inaccurate",0.009
60,5m969a1u,365e4ldq,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.009
61,5m969a1u,efi1qtrz,02_D1H2,"High,Accurate","High,Inaccurate",Low,"High,Accurate",0.009
62,5m969a1u,nslbuzjj,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.009
63,hie4719f,k64wrhu2,05_D1H2,"High,Accurate",Low,High,"Low,Accurate",0.009
64,hie4719f,oxzph04r,05_D1H2,"High,Inaccurate",Low,High,"High,Accurate",0.009
65,hie4719f,53mxc9ro,05_D1H2,"High,Inaccurate","High,Inaccurate",High,"High,Inaccurate",0.009
66,hie4719f,x6yere8h,05_D1H2,"High,Inaccurate","High,Inaccurate",High,"Low,Accurate",0.009
67,hie4719f,15prj7to,05_D1H2,"High,Inaccurate",Low,High,"High,Accurate",0.009
68,hie4719f,tzmrjesq,05_D1H2,"High,Inaccurate","High,Inaccurate",High,"High,Accurate",0.009
69,hie4719f,3yrhqskd,05_D1H2,Low,"High,Accurate",High,"High,Inaccurate",0.009
70,hie4719f,dzx35q8q,05_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.009
71,hie4719f,cumhsm9n,05_D1H2,"High,Inaccurate",Low,High,"High,Accurate",0.009
72,hie4719f,huqhsck9,05_D1H2,"High,Inaccurate","High,Inaccurate",High,"High,Accurate",0.009
73,btnhfeao,k9mr5w86,05_D2H1,"High,Accurate",Low,High,"High,Accurate",0.019
74,btnhfeao,3nzslq4p,05_D2H1,"High,Inaccurate","High,Inaccurate",High,"Low,Accurate",0.019
75,btnhfeao,x2pym7dx,05_D2H1,"High,Accurate","High,Inaccurate",High,"High,Accurate",0.019
76,btnhfeao,twmqn1o6,05_D2H1,"High,Accurate","High,Inaccurate",High,"Low,Inaccurate",0.019
77,btnhfeao,fjxddq96,05_D2H1,"High,Inaccurate","High,Accurate",High,"Low,Inaccurate",0.019
78,btnhfeao,33m18t0c,05_D2H1,"High,Accurate",Low,High,"High,Accurate",0.019
79,btnhfeao,vmyntsgr,05_D2H1,"High,Inaccurate",Low,High,"High,Accurate",0.019
80,btnhfeao,h9fyesiy,05_D2H1,"High,Inaccurate",Low,High,"High,Accurate",0.019
81,btnhfeao,kv2ymuk3,05_D2H1,"High,Inaccurate","High,Inaccurate",High,"High,Accurate",0.019
82,btnhfeao,9zhvt5x0,05_D2H1,"High,Inaccurate","High,Inaccurate",High,"High,Accurate",0.019
83,7xbozwc7,y3g9x4fc,02_D1H2,"High,Inaccurate","High,Accurate",High,"High,Accurate",0.019
84,7xbozwc7,rye27vup,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.019
85,7xbozwc7,2m6lnia0,02_D1H2,"High,Accurate",Low,High,"High,Inaccurate",0.019
86,7xbozwc7,acicxmao,02_D1H2,"High,Inaccurate","High,Accurate",High,"High,Inaccurate",0.019
87,7xbozwc7,b3w77ail,02_D1H2,"High,Inaccurate","High,Inaccurate",High,"Low,Inaccurate",0.019
88,7xbozwc7,v4q9dxro,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.019
89,7xbozwc7,8fqiz9o2,02_D1H2,"High,Inaccurate","High,Inaccurate",High,"High,Accurate",0.019
90,7xbozwc7,p2sprhna,02_D1H2,"High,Inaccurate","High,Inaccurate",High,"High,Inaccurate",0.019
91,7xbozwc7,hsr2jnim,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.019
92,7xbozwc7,8pksllrk,02_D1H2,"High,Inaccurate","High,Inaccurate",High,"High,Inaccurate",0.019
93,p66lw61j,vkzrxhgy,02_D2H1,"High,Accurate",Low,High,"High,Inaccurate",0.019
94,p66lw61j,0yrbr2jx,02_D2H1,"High,Inaccurate",Low,High,"High,Inaccurate",0.019
95,p66lw61j,0suguw8d,02_D2H1,"High,Inaccurate",Low,High,"High,Inaccurate",0.019
96,p66lw61j,7y3cxxg5,02_D2H1,"High,Accurate","High,Inaccurate",High,"Low,Accurate",0.019
97,p66lw61j,41n967vf,02_D2H1,Low,Low,High,"High,Inaccurate",0.019
98,p66lw61j,fw9d7pe1,02_D2H1,Low,Low,High,"High,Inaccurate",0.019
99,p66lw61j,baly09q8,02_D2H1,"High,Accurate",Low,High,"High,Inaccurate",0.019
100,p66lw61j,3m6qecgs,02_D2H1,"High,Accurate","High,Accurate",High,"High,Inaccurate",0.019
101,p66lw61j,bzz4b91z,02_D2H1,"High,Accurate",Low,High,"Low,Accurate",0.019
102,p66lw61j,gmp380ww,02_D2H1,"High,Accurate",Low,Low,"Low,Inaccurate",0.019
103,r6ovli5x,4cbiy0ib,05_D2H1,"High,Inaccurate",Low,High,"Low,Inaccurate",0.009
104,r6ovli5x,jeedwatt,05_D2H1,"High,Inaccurate",Low,High,"High,Accurate",0.009
105,r6ovli5x,v1rr4jv4,05_D2H1,"High,Accurate",Low,High,"Low,Accurate",0.009
106,r6ovli5x,mr0tyjxp,05_D2H1,"High,Accurate",Low,High,"High,Accurate",0.009
107,r6ovli5x,8amlvfnf,05_D2H1,"High,Inaccurate","High,Accurate",High,"Low,Accurate",0.009
108,r6ovli5x,04pv90wo,05_D2H1,"High,Inaccurate",Low,High,"High,Accurate",0.009
109,r6ovli5x,dhxq3ljo,05_D2H1,"High,Inaccurate","High,Accurate",High,"Low,Accurate",0.009
110,r6ovli5x,njnju6u0,05_D2H1,"High,Inaccurate",Low,Low,"Low,Inaccurate",0.009
111,r6ovli5x,j7t612vu,05_D2H1,"High,Accurate",Low,High,"Low,Accurate",0.009
112,r6ovli5x,0czu3fwm,05_D2H1,"High,Inaccurate",Low,High,"High,Accurate",0.009
113,r6ovli5x,kwatvg4y,05_D2H1,"High,Inaccurate","High,Inaccurate",High,"Low,Accurate",0.009
114,r6ovli5x,uvc05y1o,05_D2H1,"High,Inaccurate",Low,High,"Low,Accurate",0.009
115,r6ovli5x,0emhqklq,05_D2H1,"High,Accurate","High,Accurate",High,"Low,Accurate",0.009
116,r6ovli5x,xuy1u0is,05_D2H1,"High,Inaccurate","High,Accurate",High,"High,Accurate",0.009
117,r6ovli5x,7no619yf,05_D2H1,"High,Inaccurate","High,Accurate",High,"High,Inaccurate",0.009
118,a2ehf0h4,nxc5jidi,05_D1H2,"High,Inaccurate","High,Inaccurate",High,"High,Inaccurate",0.009
119,a2ehf0h4,mhqpmc45,05_D1H2,"High,Inaccurate",Low,High,"High,Accurate",0.009
120,a2ehf0h4,vivb97ij,05_D1H2,"High,Inaccurate",Low,High,"High,Accurate",0.009
121,a2ehf0h4,j8a6yk9r,05_D1H2,"High,Inaccurate","High,Accurate",High,"High,Accurate",0.009
122,a2ehf0h4,wgrvj2qu,05_D1H2,"High,Inaccurate","High,Inaccurate",High,"Low,Accurate",0.009
123,a2ehf0h4,d2sp7ab6,05_D1H2,"High,Accurate",Low,High,"High,Accurate",0.009
124,a2ehf0h4,oa7qot79,05_D1H2,"High,Inaccurate","High,Inaccurate",High,"High,Inaccurate",0.009
125,a2ehf0h4,mj45bz4p,05_D1H2,"High,Accurate","High,Inaccurate",High,"High,Accurate",0.009
126,a2ehf0h4,zra2d4h1,05_D1H2,"High,Inaccurate",Low,High,"High,Accurate",0.009
127,a2ehf0h4,mgwrgjsi,05_D1H2,"High,Accurate","High,Inaccurate",High,"Low,Accurate",0.009
128,785y9gdo,6v2355zp,02_D2H1,"High,Inaccurate","High,Accurate",High,"High,Inaccurate",0.009
129,785y9gdo,7wt8yym8,02_D2H1,"High,Inaccurate","High,Inaccurate",High,"High,Accurate",0.009
130,785y9gdo,4ui9hc24,02_D2H1,"High,Inaccurate",Low,High,"Low,Accurate",0.009
131,785y9gdo,i20oxo6g,02_D2H1,"High,Inaccurate",Low,High,"High,Inaccurate",0.009
132,785y9gdo,2eomabqc,02_D2H1,"High,Inaccurate",Low,High,"Low,Accurate",0.009
133,785y9gdo,lqrzksbg,02_D2H1,"High,Inaccurate",Low,High,"High,Inaccurate",0.009
134,785y9gdo,li03h52g,02_D2H1,"High,Inaccurate",Low,High,"High,Inaccurate",0.009
135,785y9gdo,zzvqana0,02_D2H1,"High,Inaccurate","High,Inaccurate",High,"High,Inaccurate",0.009
136,785y9gdo,chdaoiid,02_D2H1,"High,Inaccurate",Low,High,"High,Inaccurate",0.009
137,785y9gdo,rvh7gks4,02_D2H1,"High,Inaccurate","High,Accurate",High,"High,Inaccurate",0.009
138,785y9gdo,capu8o1s,02_D2H1,"High,Inaccurate","High,Accurate",High,"High,Inaccurate",0.009
139,785y9gdo,mqbekrho,02_D2H1,"High,Inaccurate",Low,High,"High,Inaccurate",0.009
140,yq06059v,hcs619b2,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.009
141,yq06059v,668ps4i5,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.009
142,yq06059v,tduklotz,02_D1H2,Low,Low,High,"High,Inaccurate",0.009
143,yq06059v,mgtb3nv0,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.009
144,yq06059v,mp20slc0,02_D1H2,"High,Inaccurate",Low,High,"Low,Accurate",0.009
145,yq06059v,04b7sq11,02_D1H2,"High,Accurate",Low,High,"High,Inaccurate",0.009
146,yq06059v,1htdpw0k,02_D1H2,"High,Accurate",Low,High,"High,Accurate",0.009
147,yq06059v,v5vrg7tz,02_D1H2,"High,Inaccurate","High,Accurate",High,"High,Inaccurate",0.009
148,yq06059v,p8ywwhae,02_D1H2,Low,Low,High,"High,Accurate",0.009
149,yq06059v,fs6l5l21,02_D1H2,"High,Inaccurate",Low,High,"Low,Inaccurate",0.009
150,c9oliyzc,5j2i1vhn,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.009
151,c9oliyzc,6flwmngp,02_D1H2,"High,Inaccurate","High,Inaccurate",High,"High,Inaccurate",0.009
152,c9oliyzc,4l3lx5qd,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.009
153,c9oliyzc,zaqedj3d,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.009
154,c9oliyzc,hoy3pfhe,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.009
155,c9oliyzc,zspyqro9,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.009
156,c9oliyzc,e2546rj5,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.009
157,c9oliyzc,0302jtuk,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.009
