,session.code,participant.code,session_type,session_discount,d_n_total,d_n_rational,d_n_predicted_win,d_meddiff_predicted_win,d_n_lucky_win,d_meddiff_lucky_win,d_n_greedy,d_meddiff_greedy,d_n_irrational,h_n_total,h_n_rational,h_n_predicted_win,h_meddiff_predicted_win,h_n_lucky_win,h_meddiff_lucky_win,h_n_greedy,h_meddiff_greedy,h_n_irrational,h_n_contest_correct,h_n_contest_wrong,h_n_english_total,h_n_english_correct,h_meddiff_english_correct,h_n_english_irrational,h_meddiff_english_irrational
0,ogo32l47,xpve5jjr,05_D2H1,0.019,18,18,2,-5.094916764999997,1,-2.7602179400000004,0,,0,18,16,6,2.0,1,-0.7658102000000007,2,3.4091739949999997,0,17,1,12,12,6.5,0,
1,ogo32l47,4uwxoyym,05_D2H1,0.019,18,17,0,,0,,0,,1,18,15,1,0.49885129000000106,0,,1,3.916103790000001,2,8,10,14,3,1.0,11,-15.0
2,ogo32l47,vsnra3b2,05_D2H1,0.019,18,18,1,0.40666466000000057,0,,0,,0,18,15,1,5.443200990000001,0,,3,6.442371640000001,0,17,1,6,6,11.5,0,
3,ogo32l47,t1bd9l7t,05_D2H1,0.019,18,18,3,-2.7621147199999996,0,,0,,0,18,15,4,2.442371640000001,0,,3,2.0,0,17,1,13,12,2.0,1,-20.0
4,ogo32l47,dhvmgqvp,05_D2H1,0.019,18,18,6,-3.3447092599999984,0,,0,,0,18,15,2,-3.133348452500001,3,-4.17133505,3,1.1790883900000004,0,18,0,12,11,2.0,1,-1.0
5,ogo32l47,co853jdf,05_D2H1,0.019,18,18,2,-5.344666719999999,0,,0,,0,18,17,1,2.0,1,-3.9706063699999987,0,,1,13,5,9,3,1.0,6,-8.0
6,ogo32l47,o0hl9fts,05_D2H1,0.019,18,18,1,-2.0939494699999983,0,,0,,0,18,17,0,,0,,1,26.91610379,0,16,2,7,6,4.5,1,-2.0
7,ogo32l47,fcn7ugft,05_D2H1,0.019,18,18,5,-3.594474929999997,1,-5.093949469999998,0,,0,18,17,1,-1.9111024699999994,1,-2.501148709999999,1,2.916103790000001,0,15,3,4,3,3.0,1,-2.0
8,ogo32l47,mdplufxt,05_D2H1,0.019,18,18,4,-1.2611166600000008,0,,0,,0,18,18,2,-0.9853031849999994,2,-4.71737096,0,,0,5,13,17,2,6.0,15,-15.0
9,ogo32l47,mov11d6q,05_D2H1,0.019,18,18,1,-2.928897980000002,0,,0,,0,18,18,1,1.0,3,-4.030607795,0,,0,18,0,8,5,1.0,3,-1.0
10,ogo32l47,ycapi7qs,05_D2H1,0.019,18,18,5,-0.5953266100000008,1,1.0711020199999979,0,,0,18,17,0,,1,-6.367117180000001,1,1.0,0,18,0,7,5,1.0,2,-1.5
11,ogo32l47,631hrbiu,05_D2H1,0.019,18,18,7,-3.4276417399999985,3,-3.4276417399999985,0,,0,18,16,5,1.2341897999999993,4,-4.864067029999999,2,3.9580518950000005,0,18,0,13,9,8.0,4,-1.0
12,ogo32l47,oxnhhokq,05_D2H1,0.019,18,18,5,-2.2617343599999984,0,,0,,0,18,18,3,1.1790883900000004,4,-7.601485125000002,0,,0,17,1,8,5,1.0,3,-1.0
13,ogo32l47,ptz6jcy9,05_D2H1,0.019,18,17,2,-1.5107529200000016,0,,1,2.7375491499999995,0,18,15,1,5.364196079999999,1,-3.0124555199999996,3,3.916103790000001,0,16,2,8,8,3.5,0,
14,ogo32l47,5qx58s2r,05_D2H1,0.019,18,18,2,-3.261267255,1,-5.595326610000001,0,,0,18,17,0,,2,0.6611389605000002,1,0.561739750000001,0,14,4,8,5,4.0,3,-9.0
15,cbdt6t3s,p9h85kcr,02_D2H1,0.019,18,17,9,0.8357099800000007,0,,1,2.496789079999999,0,18,16,10,0.9700150399999998,2,-1.1742785024999995,2,1.950104863,0,18,0,17,17,5.0,0,
16,cbdt6t3s,mxwxkzz6,02_D2H1,0.019,18,17,8,-0.47994792599999947,4,-3.4851802449999996,1,6.882484451,0,18,17,9,-1.5450256899999992,4,-3.3100543580000004,1,0.118518177,0,16,2,13,13,10.0,0,
17,cbdt6t3s,sgan0bdv,02_D2H1,0.019,18,17,6,2.0256570295,0,,1,0.528582265,0,18,12,5,7.457004089,1,2.510446408,6,2.8939415139999998,0,18,0,14,13,10.0,1,-1.0
18,cbdt6t3s,cwnfbv11,02_D2H1,0.019,18,16,5,6.492162610000001,1,1.1648169999999993,2,3.500818735,0,18,8,0,,0,,10,11.456646175,0,18,0,14,11,10.0,3,-1.0
19,cbdt6t3s,6akmy4kr,02_D2H1,0.019,18,14,5,11.18417378,0,,3,3.607768019,1,18,5,0,,0,,13,6.336843856,0,16,2,16,15,7.0,1,-8.0
20,cbdt6t3s,ece1g596,02_D2H1,0.019,18,14,7,-8.4916336,1,-9.49858149,0,,4,18,10,7,-0.85220451,0,,1,2.0,7,9,9,15,8,12.5,7,-18.0
21,cbdt6t3s,8vdn61jw,02_D2H1,0.019,18,18,10,0.0008187350000001814,1,-5.16698461,0,,0,18,16,9,1.2017417899999998,3,-6.8086635399999995,2,0.2810187065,0,17,1,14,12,17.0,2,-13.5
22,cbdt6t3s,569rkdmi,02_D2H1,0.019,18,16,5,3.1584271299999997,1,-7.498581489999999,2,1.10234364,0,18,13,4,8.0,3,3.875530263,5,5.353346303,0,15,3,11,10,15.5,1,-2.0
23,cbdt6t3s,un0gw1cl,02_D2H1,0.019,18,15,11,7.51332944,1,-6.172698919999998,3,3.909756068,0,18,13,6,1.3354667695,1,2.4549743100000008,5,5.353346303,0,17,1,12,12,16.5,0,
24,cbdt6t3s,hru4gpvu,02_D2H1,0.019,18,16,6,-1.9987260599999992,0,,2,1.9064508915000002,0,18,13,4,12.329321884999999,1,3.875530263,5,2.0,0,17,1,13,11,15.0,2,-2.5
25,nli0vb0t,78zvyywq,02_D1H2,0.019,18,18,10,4.160392615000001,0,,0,,0,18,11,7,9.45497431,0,,7,1.3368438559999998,0,18,0,15,15,8.0,0,
26,nli0vb0t,xfp6redl,02_D1H2,0.019,18,17,7,3.8559962599999995,1,-5.1440037400000005,1,3.8357099800000007,0,18,14,5,10.0,4,0.42594421350000045,4,10.448244554999999,0,18,0,17,16,5.0,1,-2.0
27,nli0vb0t,l8zmfxbp,02_D1H2,0.019,18,15,6,4.678733739,1,5.496789079999999,3,0.8307835700000012,0,18,9,2,16.002723160000002,0,,9,9.53914137,0,16,2,15,15,2.0,0,
28,nli0vb0t,nytb287q,02_D1H2,0.019,18,16,7,5.159689719999999,0,,2,2.5218133105000007,0,18,10,6,16.93782548,1,12.30897601,8,3.5431523150000004,0,16,2,16,15,10.0,1,-9.0
29,nli0vb0t,125plpb3,02_D1H2,0.019,18,18,11,3.5083664,0,,0,,0,18,15,7,3.297944340000001,2,4.356094099,3,6.922720893999999,0,18,0,16,11,8.0,5,-2.0
30,nli0vb0t,ybapfguj,02_D1H2,0.019,18,17,8,1.162404650000001,1,-2.8076130799999994,1,1.4950093399999993,0,18,18,9,-0.329790842,8,-3.4572312620000005,0,,0,18,0,17,17,1.0,0,
31,nli0vb0t,0bpzxu3k,02_D1H2,0.019,18,16,5,-0.8403102800000006,4,-1.6591685649999999,2,4.168635515,0,18,11,3,4.871982170000001,3,1.670933539,7,9.786661599999999,0,18,0,16,15,6.0,1,-4.0
32,nli0vb0t,ql1bcebi,02_D1H2,0.019,18,16,10,2.5014494050000007,3,-2.1513525199999997,2,3.1879694599999997,0,18,15,10,4.634568478000001,3,-0.5916837389999996,3,0.22927618699999996,0,18,0,18,18,4.0,0,
33,nli0vb0t,kmgpsss2,02_D1H2,0.019,18,17,5,6.1611421700000015,1,-1.1175155490000002,1,8.827301080000002,0,18,6,2,-1.9804209099999996,0,,12,4.2987430765,0,18,0,16,16,4.5,0,
34,nli0vb0t,si42qbgf,02_D1H2,0.019,18,17,10,-3.1440037400000005,0,,1,0.4967890799999992,0,18,16,8,15.722869915,5,-1.1591670799999996,2,8.360977945,0,18,0,18,17,9.0,1,-3.0
35,15t0rnnr,zdnh7x5w,05_D1H2,0.019,25,24,1,1.5707789599999984,1,-5.761300239999997,1,0.7375491499999995,0,25,16,1,13.96990332,3,-1.7658102000000007,9,13.763910889999998,0,23,2,15,15,1.0,0,
36,15t0rnnr,t7atobjm,05_D1H2,0.019,25,25,4,-3.3450462949999995,2,-3.010823105,0,,0,25,21,0,,2,5.512538094999998,4,5.317682885,0,23,2,12,12,3.0,0,
37,15t0rnnr,2v28o8ao,05_D1H2,0.019,25,24,1,4.23788528,0,,1,3.238699760000003,0,25,18,2,17.49377224,6,6.36392132,7,6.0,0,23,2,17,16,1.0,1,-1.0
38,15t0rnnr,kt4qj72f,05_D1H2,0.019,25,25,7,-2.7621147199999996,1,-4.2608001500000015,0,,0,25,22,3,-0.7658102000000007,7,-3.367117180000001,3,9.172331419999999,0,24,1,16,16,1.0,0,
39,15t0rnnr,ovsmhled,05_D1H2,0.019,25,24,4,-0.34389129999999923,0,,1,7.404673389999999,0,25,9,0,,0,,15,4.261165299999998,1,21,4,18,12,2.5,6,-5.5
40,15t0rnnr,v2fxgek6,05_D1H2,0.019,25,24,4,-2.5956678800000006,2,-3.093234015,1,1.4046733899999992,0,25,21,3,7.561739750000001,6,2.7137929025000003,4,5.9580518950000005,0,23,2,14,13,2.0,1,-3.0
41,15t0rnnr,serh36i8,05_D1H2,0.019,25,25,4,-2.5944116699999995,0,,0,,0,25,17,0,,1,4.82866495,8,11.175709905,0,23,2,14,12,2.5,2,-1.0
42,15t0rnnr,stv753dg,05_D1H2,0.019,25,25,9,-0.4221175300000013,0,,0,,0,25,18,1,19.0,2,10.031427375,7,3.9699033200000002,0,21,4,10,9,0.0,1,-1.0
43,15t0rnnr,77i4h44s,05_D1H2,0.019,25,25,5,-3.5953266100000008,0,,0,,0,25,17,3,3.442371640000001,5,3.561739750000001,8,5.933536309999999,0,25,0,17,17,1.0,0,
44,15t0rnnr,b2lhxoes,05_D1H2,0.019,25,25,5,0.9050705000000008,0,,0,,0,25,17,2,7.498851290000001,2,4.796287919999999,8,3.768263749999999,0,24,1,14,14,2.5,0,
45,w4lqxa01,8vp5cg8d,05_D1H2,0.019,28,28,5,-0.7613002399999971,0,,0,,0,28,25,6,-2.000949655000001,2,-6.088547475,3,6.714915510000001,0,25,3,14,13,3.0,1,-2.0
46,w4lqxa01,99eo3cv9,05_D1H2,0.019,28,28,3,-4.4276417399999985,1,-3.2608001500000015,0,,0,28,27,4,-4.204673270000001,6,-3.4464672100000007,1,1.916103790000001,0,27,1,13,13,2.0,0,
47,w4lqxa01,5ijp1psm,05_D1H2,0.019,28,27,3,-2.2624508500000005,0,,1,0.7375491499999995,0,28,23,1,2.70597051,2,-1.5079648650000008,5,8.0,0,28,0,12,6,7.5,6,-1.0
48,w4lqxa01,iw9n3s9j,05_D1H2,0.019,28,28,5,-2.0875731099999992,3,-5.2595314900000005,0,,0,28,28,6,-4.07943376,8,-5.438260249999999,0,,0,27,1,14,7,4.0,7,-6.0
49,w4lqxa01,71cpbfni,05_D1H2,0.019,28,25,2,-4.928087514999998,0,,3,0.23788528000000042,0,28,21,0,,1,-5.903862449999998,7,8.498851290000001,0,24,4,13,11,2.0,2,-14.5
50,w4lqxa01,8wo14i1u,05_D1H2,0.019,28,27,6,-1.7617313949999982,2,-1.9259797799999987,1,7.405525070000003,0,28,22,0,,1,14.443200990000001,6,3.8164414099999995,0,28,0,13,12,0.0,1,-1.0
51,w4lqxa01,y93878sx,05_D1H2,0.019,28,28,5,-2.2617343599999984,0,,0,,0,28,25,2,5.18209804,1,5.70597051,3,2.2745794249999998,0,27,1,12,11,1.0,1,-1.0
52,w4lqxa01,9x5w27px,05_D1H2,0.019,28,27,6,-1.7604972449999998,1,-0.5917324700000002,1,3.40826753,0,28,27,7,2.0,2,-2.920941749999999,1,2.0,0,27,1,16,10,8.0,6,-1.0
53,w4lqxa01,hnai8u6g,05_D1H2,0.019,28,26,4,-1.7605705749999991,2,0.07191248500000214,2,2.737895060000003,0,28,21,0,,1,2.2131015099999995,7,3.0888975300000006,0,28,0,13,11,0.0,2,-1.0
54,w4lqxa01,9zlshhag,05_D1H2,0.019,28,28,6,-4.928897980000002,2,-4.094878229999999,0,,0,28,25,3,3.916103790000001,3,2.498851290000001,3,1.916103790000001,0,28,0,13,12,1.0,1,-1.0
55,5m969a1u,k0p1qgcr,02_D1H2,0.009,18,18,6,-4.917806304999999,3,-4.598667939999999,0,,0,18,11,1,11.0,1,4.894488663,7,2.630255904,0,17,1,15,15,0.0,0,
56,5m969a1u,oxm5vtpc,02_D1H2,0.009,18,18,6,1.2621928905000006,0,,0,,0,18,17,7,4.99799329,4,0.68831636,1,6.0,0,17,1,17,16,7.0,1,-1.0
57,5m969a1u,skq2nv16,02_D1H2,0.009,18,18,8,-2.768457585,1,-2.2124213040000003,0,,0,18,13,5,3.0,6,-1.9118999054999999,5,4.0,0,17,1,17,16,4.0,1,-1.0
58,5m969a1u,1bqee54e,02_D1H2,0.009,18,18,11,-3.748357845,2,-6.623246689999998,0,,0,18,15,6,2.9889816095,4,0.0658416950000002,3,1.2588398239999998,0,17,1,16,14,2.5,2,-2.0
59,5m969a1u,5sdohpjb,02_D1H2,0.009,18,18,7,-7.343004359999998,4,-7.4471878675,0,,0,18,18,7,0.7843822810000001,5,-2.018803207,0,,0,16,2,15,13,8.0,2,-5.0
60,5m969a1u,365e4ldq,02_D1H2,0.009,18,18,9,-3.921510699999999,1,-5.49850176,0,,0,18,6,0,,0,,12,5.12594132,0,18,0,17,16,6.0,1,-1.0
61,5m969a1u,efi1qtrz,02_D1H2,0.009,18,16,5,-1.0739494900000004,0,,2,1.9297831550000009,0,18,17,6,-1.7125674685,6,-4.4231331835,0,,1,14,4,14,12,1.0,2,-1.0
62,5m969a1u,nslbuzjj,02_D1H2,0.009,18,17,9,-3.3597330700000008,0,,1,0.021458282999999856,0,18,12,8,2.5942273115,1,-1.731482164,6,5.5042403055,0,17,1,17,17,14.0,0,
63,hie4719f,k64wrhu2,05_D1H2,0.009,28,28,4,-2.5728866099999994,0,,0,,0,28,18,0,,0,,10,3.1656650049999993,0,28,0,14,10,1.0,4,-1.0
64,hie4719f,oxzph04r,05_D1H2,0.009,28,28,2,-7.023782125,0,,0,,0,28,20,3,1.0,1,-1.4992402300000016,8,2.0,0,27,1,13,13,1.0,0,
65,hie4719f,53mxc9ro,05_D1H2,0.009,28,27,5,-7.971483030000002,1,-8.07476208,0,,1,28,27,8,2.0,4,-6.24482237,1,2.0,0,27,1,15,12,4.0,3,-2.0
66,hie4719f,x6yere8h,05_D1H2,0.009,28,26,2,-6.111713439999999,0,,0,,2,28,27,2,3.0,6,-5.236537200000001,1,2.0,0,27,1,10,4,7.0,6,-1.0
67,hie4719f,15prj7to,05_D1H2,0.009,28,28,6,-4.032824144999999,0,,0,,0,28,22,3,3.5007597699999984,2,0.08992691500000038,6,2.16186761,0,28,0,16,14,2.5,2,-2.0
68,hie4719f,tzmrjesq,05_D1H2,0.009,28,28,5,-4.971483030000002,0,,0,,0,28,23,2,5.0,1,0.4941407099999999,5,2.0,0,27,1,14,14,1.0,0,
69,hie4719f,3yrhqskd,05_D1H2,0.009,28,20,7,-4.7925730999999985,0,,0,,8,28,24,4,2.0,2,-1.6798214949999988,4,4.227934115,0,27,1,12,11,6.0,1,-2.0
70,hie4719f,dzx35q8q,05_D1H2,0.009,28,28,3,-5.43411279,1,-3.7925730999999985,0,,0,28,18,0,,2,-5.538556310000001,10,6.5,0,27,1,15,13,8.0,2,-1.0
71,hie4719f,cumhsm9n,05_D1H2,0.009,28,28,4,-5.201725284999998,1,-5.809321709999999,0,,0,28,20,2,5.0,1,0.4941407099999999,8,2.839387145,0,28,0,17,16,1.0,1,-1.0
72,hie4719f,huqhsck9,05_D1H2,0.009,28,28,4,-6.532824144999999,0,,0,,0,28,28,5,2.0,8,-4.136671020000001,0,,0,27,1,13,11,0.0,2,-2.5
73,btnhfeao,k9mr5w86,05_D2H1,0.019,25,25,6,-2.0109761499999994,0,,0,,0,25,19,2,6.3424094150000005,1,4.096137550000002,6,3.352985255,0,23,2,14,12,2.0,2,-8.5
74,btnhfeao,3nzslq4p,05_D2H1,0.019,25,25,6,-3.5114574350000005,1,-1.9288979800000021,0,,0,25,21,4,0.8529852550000001,7,-5.738834700000002,4,4.496954055000001,0,25,0,19,13,0.0,6,-1.0
75,btnhfeao,x2pym7dx,05_D2H1,0.019,25,24,5,-0.4285332899999972,0,,1,0.5752667900000006,0,25,22,1,-3.501148709999999,2,6.335591355,3,4.295326729999999,0,24,1,9,9,1.0,0,
76,btnhfeao,twmqn1o6,05_D2H1,0.019,25,24,2,-0.4288887300000006,0,,0,,1,25,23,4,3.597311285,3,3.9699033200000002,2,1.0861657099999995,0,22,3,15,10,4.0,5,-7.0
77,btnhfeao,fjxddq96,05_D2H1,0.019,25,25,5,-2.9270889800000006,1,-3.5933353399999994,0,,0,25,23,6,0.23588263500000117,3,-1.9706063699999987,2,4.5,0,24,1,14,10,7.5,4,-5.0
